day	red	yellow	blue	ice	rock	pink	purple	white
1	20	0	0	0	0	0	0	0
2	44	0	0	10	0	0	0	0
3	74	15	0	50	0	0	0	0
4	76	33	0	50	0	0	0	0
5	75	68	0	50	0	0	0	0
6	75	104	44	75	0	0	0	0
7	75	106	88	75	0	0	0	0
8	75	196	99	75	0	0	0	0
9	109	132	116	75	0	0	0	0
10	108	133	132	72	9	0	0	0
11	108	133	132	72	9	0	0	0
12	108	133	132	72	9	0	0	0
13	130	151	148	72	9	0	0	0
14	138	157	180	85	9	0	0	0
15	138	157	180	85	9	0	0	0
16	138	157	180	85	9	0	0	0
17	142	157	285	85	9	0	0	0
18	145	157	262	105	9	0	9	9
19	149	157	308	111	9	0	9	9
20	149	157	396	111	9	0	9	9
21	132	120	419	111	9	4	9	9
22	132	120	432	111	9	4	9	9
23	132	120	432	111	9	4	9	9
24	132	120	432	111	9	4	9	9
25	132	135	473	111	9	4	9	9
26	120	135	449	150	14	4	9	9
27	120	124	435	177	28	4	15	19
28	120	130	435	260	28	4	15	19
29	120	130	435	243	28	4	15	19
30	120	130	435	243	28	4	15	19
31	170	130	435	228	27	4	15	19
32	136	130	439	224	26	4	15	5
33	158	130	469	224	26	4	15	5
34	209	130	434	224	26	34	20	5
35	216	113	426	224	26	44	20	9
36	231	113	422	224	87	44	20	9
37	231	113	422	210	56	45	35	24
38	231	113	422	210	81	72	34	24
39	231	113	422	215	81	124	32	24
40	231	113	422	215	81	124	32	24
41	231	113	341	219	99	154	29	104
42	231	113	317	219	99	154	1	69
43	202	82	269	219	99	154	1	56
